Data info
File name: C:\TP_RESA_PERCAGE\TP11\Alu2017-T4-Vc61-f0.05BC-DRY.dxd
Start time: 05/12/2017 11:35:43,734
Number of channels: 4
Sample rate: 1000
Store type: Toujours rapide


Data1

Time [s]	Fx [N]	Fy [N]	Fz [N]	Mz [Nm]
0.225	-9.067915	-7.8473668	-10.089045	0.25366321
0.226	-9.85956	-7.7191215	-10.707561	0.25488093
0.227	-9.3760471	-7.9251151	-9.4710636	0.25493458
0.228	-9.0214233	-7.8313808	-9.523098	0.25290146
0.229	-8.7035999	-7.8610997	-8.5006399	0.24982765
0.23	-8.9334116	-7.5684886	-6.379549	0.25124922
0.231	-8.795331	-7.5757127	-5.0604386	0.25183395
0.232	-8.7799892	-7.4594121	-6.1225934	0.25590554
0.233	-8.8008032	-7.3896389	-6.9680257	0.26071742
0.234	-9.3463287	-7.4306231	-6.6343589	0.25482729
0.235	-9.2079983	-7.6552491	-6.1703367	0.25969282
0.236	-9.5377312	-7.8840237	-4.0926976	0.25760606
0.237	-9.7003803	-8.014987	-4.6479149	0.26094809
0.238	-9.3942146	-7.9540472	-4.0707035	0.25930658
0.239	-9.6252069	-7.7121477	-3.1791375	0.25887743
0.24	-9.9802237	-7.7857118	-1.2753054	0.25965527
0.241	-10.349761	-7.8121047	-0.3392145	0.25523499
0.242	-10.842072	-7.9056244	-1.0591193	0.25871649
0.243	-10.54313	-8.1195574	-0.86009949	0.25790647
0.244	-10.629676	-8.0203876	-0.34189671	0.26117876
0.245	-10.986588	-8.0084429	-1.0923787	0.26100174
0.246	-10.911987	-7.9922061	-1.5285059	0.26091054
0.247	-10.537873	-8.1781368	0.20151885	0.26273981
0.248	-10.808704	-8.0297575	-0.60850829	0.25925294
0.249	-10.308455	-7.9396706	-1.177673	0.26010051
0.25	-10.157822	-8.2499847	0.15484841	0.26126459
0.251	-10.218475	-8.0983505	-2.6641533	0.25820151
0.252	-10.185109	-7.9670291	-2.0445631	0.25905445
0.253	-10.62256	-8.0436335	-1.2844249	0.25986984
0.254	-9.9683151	-8.0482826	-1.9077703	0.26133433
0.255	-10.03791	-7.5400214	-2.1153734	0.26089445
0.256	-10.258029	-7.474504	-1.0446354	0.26187077
0.257	-10.435091	-7.6791029	-0.24372785	0.26065305
0.258	-9.9090557	-7.7344637	-0.97758025	0.26161864
0.259	-10.701344	-7.3981147	0.6553486	0.260932
0.26	-11.166225	-7.3521953	0.10174067	0.2637966
0.261	-10.736249	-7.7454786	-0.509803	0.26282027
0.262	-10.761176	-7.7209096	0.37747175	0.26026145
0.263	-11.244904	-7.8443627	-1.1234924	0.26280954
0.264	-11.577032	-7.9431753	-1.9533678	0.26149526
0.265	-11.755131	-7.7294211	-1.3487979	0.26137725
0.266	-11.469601	-7.8544121	-0.8010909	0.26087299
0.267	-12.242685	-7.9204302	-0.52750558	0.2620317
0.268	-12.722622	-8.2381115	-0.54467171	0.26289538
0.269	-12.567661	-8.612834	0.30022413	0.2631636
0.27	-12.058685	-8.5945234	-1.6336485	0.26425794
0.271	-11.740039	-8.5724573	-0.1713082	0.26431158
0.272	-11.945103	-8.3436117	-1.83696	0.26478365
0.273	-12.038694	-8.2706909	-1.4045879	0.26154891
0.274	-12.112473	-8.5650187	-0.45294017	0.26542202
0.275	-12.181781	-8.6685524	0.62959939	0.26338354
0.276	-12.244402	-8.7782364	0.81091672	0.26101246
0.277	-12.213753	-8.8187199	2.0946219	0.26532009
0.278	-11.977718	-9.0180979	2.2979333	0.26508406
0.279	-12.101958	-9.1863613	1.9052581	0.26439741
0.28	-12.160288	-9.6210938	3.4244611	0.26407555
0.281	-12.021134	-9.6833572	3.245826	0.26364103
0.282	-12.04438	-9.5999937	1.0405139	0.26558295
0.283	-12.148092	-9.1537457	0.24336131	0.26409701
0.284	-11.86925	-9.1274958	-0.3392145	0.26540592
0.285	-11.779521	-9.1759186	1.2904958	0.26707962
0.286	-11.840068	-9.1166954	2.5575712	0.26577607
0.287	-11.751125	-9.1700535	1.5039996	0.26360348
0.288	-10.959087	-9.4040499	1.9438819	0.27070597
0.289	-10.40784	-9.0450268	2.1391466	0.26677921
0.29	-9.5223885	-8.9815836	2.4416997	0.26639298
0.291	-10.170375	-8.608757	3.1798437	0.26323333
0.292	-10.769651	-8.6477737	1.4390901	0.26440278
0.293	-10.607646	-8.8346701	2.8778269	0.26740685
0.294	-10.764967	-8.9692097	3.5741284	0.26654854
0.295	-10.802124	-9.318469	3.7050202	0.26599064
0.296	-10.348223	-9.4110947	3.0146196	0.26807204
0.297	-10.098134	-9.2333183	2.8601243	0.26668265
0.298	-10.903584	-9.2775564	2.4620845	0.26803985
0.299	-10.885774	-9.4047651	3.7887051	0.26604429
0.3	-11.158679	-9.6486311	3.9507105	0.26915565
0.301	-11.205814	-9.6621141	3.656204	0.26611403
0.302	-11.212323	-9.6765261	4.3594794	0.27295902
0.303	-10.678779	-9.923933	6.1420755	0.2701427
0.304	-10.211394	-9.799407	4.7435718	0.27108684
0.305	-10.295688	-9.5343332	5.8228927	0.27426258
0.306	-9.8907452	-9.7759829	6.7080216	0.27256742
0.307	-9.8902807	-9.6689806	6.4628677	0.27522281
0.308	-10.132931	-9.5179539	7.0835309	0.27365103
0.309	-9.8416786	-9.3689308	6.525095	0.2756466
0.31	-9.9339828	-9.2922192	5.9999185	0.27040556
0.311	-9.8530874	-9.490345	6.3217835	0.27423039
0.312	-9.7793446	-9.497426	7.6800542	0.27081326
0.313	-9.5730648	-9.4943151	6.2161045	0.27838245
0.314	-9.5095501	-9.4104872	7.4585037	0.27637079
0.315	-9.721015	-9.3474731	8.4069328	0.27725056
0.316	-9.5183115	-9.4875917	9.1547327	0.27579144
0.317	-9.3227606	-9.6180897	9.1965752	0.2773793
0.318	-9.0299349	-9.6602182	9.778614	0.27923003
0.319	-9.0843658	-9.6323233	8.2883787	0.27958408
0.32	-9.4456778	-9.4091997	6.8925576	0.27750805
0.321	-8.9312658	-9.4114523	9.1273737	0.27549103
0.322	-9.3590603	-9.3663559	8.2084494	0.27663365
0.323	-9.3773708	-9.6346121	6.1313467	0.27785137
0.324	-8.9848385	-9.6423731	6.4859347	0.27773336
0.325	-9.0041857	-9.4819765	12.014503	0.27857557
0.326	-8.6001024	-8.947752	13.060029	0.27773872
0.327	-9.0668421	-8.8572721	12.515004	0.27814105
0.328	-9.3189344	-8.7888584	10.47438	0.28061941
0.329	-9.1511354	-8.9596252	9.7206783	0.28123096
0.33	-9.3845587	-9.050642	11.367555	0.27866676
0.331	-9.5034342	-9.1093283	12.483891	0.28247014
0.332	-8.619772	-9.0439539	9.9518852	0.27663365
0.333	-8.5209236	-8.8598118	9.7780781	0.28074279
0.334	-8.6374025	-8.9131336	11.440511	0.27996495
0.335	-8.8932858	-9.0936289	13.137277	0.28193906
0.336	-9.118412	-9.2601042	10.609563	0.28247014
0.337	-9.8173246	-9.262393	9.4674778	0.28086618
0.338	-9.812604	-9.2647533	9.1965752	0.28328553
0.339	-8.8117104	-9.4377022	10.434683	0.28281346
0.34	-9.1165171	-9.2760544	10.667499	0.28171375
0.341	-9.3342047	-9.3031988	13.309474	0.28287783
0.342	-9.6805315	-9.1848955	11.34717	0.28298512
0.343	-9.3744383	-9.2313156	11.657233	0.28278664
0.344	-8.3366375	-9.2657547	13.538535	0.2849485
0.345	-8.4427462	-8.9933853	10.920162	0.28178349
0.346	-8.6547117	-9.1681223	9.7292614	0.28118268
0.347	-8.6026773	-9.1922626	8.8419867	0.2842243
0.348	-7.7542048	-9.3994007	10.48189	0.28553858
0.349	-8.5781794	-9.3689308	12.620147	0.28346255
0.35	-9.0231762	-9.4530449	13.72629	0.28408483
0.351	-8.9883432	-9.460948	12.672181	0.2845569
0.352	-8.8974695	-9.4460354	14.204259	0.28616622
0.353	-8.049284	-9.3431454	15.162344	0.28577998
0.354	-8.102499	-9.377943	14.76645	0.28495386
0.355	-7.5045447	-9.3391762	11.601443	0.28477147
0.356	-7.3179345	-9.0202074	11.479671	0.2831836
0.357	-8.0509644	-8.7493048	11.283334	0.28385416
0.358	-8.4698896	-8.8475809	10.121401	0.28461054
0.359	-7.7523451	-9.006403	12.130375	0.28595164
0.36	-8.457015	-8.8848457	13.512249	0.28582826
0.361	-8.3520517	-8.7357864	13.696249	0.2853401
0.362	-7.7637892	-8.8997946	15.408034	0.28588191
